obs_id,score,rank
217,0.356248026,277
2053,0.356189252,278
1045,0.355929124,279
2362,0.35541288800000004,280
2089,0.355268633,281
1612,0.354890115,282
807,0.354584928,283
1050,0.353886837,284
1097,0.353297211,285
1100,0.35193398000000004,286
1550,0.351907482,287
1368,0.35139383100000005,288
738,0.351381666,289
1371,0.351304432,290
489,0.35119458600000003,291
1245,0.350549828,292
1040,0.35002924399999996,293
291,0.349988713,294
2192,0.348823302,295
2455,0.34714730499999996,296
782,0.34702614499999995,297
1854,0.34663389200000005,298
2442,0.346106442,299
2404,0.346069445,300
2435,0.34605003300000003,301
584,0.345892142,302
1273,0.345755472,303
724,0.345083674,304
1201,0.345014991,305
1227,0.34478436900000003,306
1856,0.344772225,307
2375,0.344577184,308
443,0.344544384,309
2250,0.344258419,310
1268,0.343764401,311
391,0.34351744900000003,312
319,0.342947816,313
2024,0.342549658,314
1313,0.34192753200000003,315
2139,0.341251268,316
2162,0.341106732,317
2474,0.34098218799999996,318
73,0.34086627900000005,319
2256,0.34062948000000004,320
250,0.340346963,321
1134,0.34026280500000006,322
1908,0.33983669200000005,323
1191,0.33873588,324
1185,0.33860646299999997,325
240,0.338137751,326
2170,0.337884388,327
2176,0.33740409000000005,328
2115,0.337316316,329
276,0.33716926100000005,330
959,0.336671431,331
1204,0.33613458,332
711,0.33576311400000003,333
1126,0.335613838,334
749,0.33462939399999997,335
456,0.33462746200000004,336
1544,0.33406100699999997,337
1156,0.333654301,338
1103,0.333502704,339
358,0.331765247,340
770,0.33176347900000003,341
2253,0.33166153,342
2094,0.33139641100000006,343
2482,0.33135808,344
384,0.331314281,345
386,0.33094773,346
2213,0.330704842,347
1603,0.330434546,348
1880,0.330168179,349
403,0.32980077900000004,350
1716,0.32957803399999996,351
434,0.328665452,352
461,0.32863116,353
419,0.328502026,354
416,0.328469743,355
723,0.328298735,356
2070,0.327623928,357
412,0.327580779,358
1909,0.327028032,359
1064,0.32697101300000003,360
819,0.326962297,361
348,0.326912355,362
2128,0.326429278,363
1870,0.32640734600000004,364
335,0.32627813200000005,365
1229,0.325745879,366
374,0.32545650000000004,367
2245,0.325348472,368
308,0.325185632,369
568,0.325037724,370
2117,0.325037534,371
2389,0.324934725,372
2450,0.32393883300000004,373
1164,0.32384314300000006,374
1893,0.32375564700000004,375
2086,0.32256210300000004,376
1555,0.32229847300000003,377
811,0.322232156,378
1249,0.32215088300000005,379
2026,0.32187915699999997,380
296,0.321542749,381
1349,0.321444408,382
1737,0.32135942900000003,383
414,0.321213737,384
360,0.32066010400000006,385
1216,0.319678834,386
1347,0.319623757,387
732,0.31953871500000003,388
329,0.31953321300000004,389
2430,0.31880256500000004,390
1195,0.317496705,391
1030,0.317208661,392
1557,0.317201129,393
1572,0.317089135,394
226,0.316620361,395
2472,0.31648854299999996,396
788,0.316476745,397
1915,0.316422089,398
2010,0.31602674199999997,399
2114,0.315533157,400
2414,0.315054472,401
806,0.31482506200000004,402
814,0.31482506200000004,403
531,0.314768406,404
1733,0.31475890100000004,405
310,0.314638083,406
2088,0.314589104,407
2067,0.314204514,408
426,0.313754093,409
781,0.313356023,410
212,0.312867653,411
1956,0.312784766,412
1906,0.312598539,413
1903,0.31257188700000005,414
570,0.31234553000000004,415
2121,0.31180015499999997,416
2422,0.31177336,417
1402,0.31144391400000004,418
2122,0.311310066,419
401,0.311184103,420
243,0.31053394500000003,421
2171,0.31030749,422
695,0.310293958,423
632,0.310134128,424
316,0.310126508,425
2395,0.30997506500000005,426
485,0.309949722,427
1186,0.308678422,428
2383,0.308541887,429
2402,0.308522016,430
344,0.30843189299999996,431
2316,0.308400345,432
815,0.308164781,433
1200,0.308059574,434
1247,0.308013575,435
2462,0.30751418799999997,436
2000,0.30733599300000003,437
760,0.307067435,438
1208,0.306940851,439
798,0.306852063,440
929,0.30681380700000005,441
1929,0.306797505,442
756,0.306357554,443
1366,0.30630615400000005,444
1890,0.30624343800000003,445
1109,0.30571563700000004,446
1071,0.305612227,447
1277,0.305523741,448
1106,0.305454756,449
1562,0.30492345400000004,450
736,0.304645255,451
839,0.304535059,452
1888,0.304103634,453
245,0.303987731,454
1714,0.30396899600000005,455
2078,0.30383963299999994,456
2104,0.30379761400000005,457
1720,0.303142892,458
78,0.303080695,459
1604,0.30299530599999996,460
353,0.30294567,461
1683,0.30278382600000003,462
60,0.302398865,463
840,0.302344575,464
1892,0.302324206,465
1937,0.302067364,466
202,0.30205038300000003,467
1507,0.30147314,468
2030,0.30140282,469
205,0.30105281000000006,470
405,0.301052696,471
2283,0.300976239,472
2157,0.30038811,473
1305,0.30009626400000006,474
1042,0.299685395,475
2210,0.29964980500000005,476
820,0.299643329,477
1213,0.299549644,478
1222,0.29915261500000007,479
2145,0.29910975,480
2274,0.299060837,481
1054,0.29891835,482
